itemID,class1,class2
item0,article,Series
item1,article,Movies
item2,article,Celebrities
item3,article,Series
item4,article,Movies
item5,article,Comic
item6,article,Series
item7,article,TV
item8,article,Movies
item9,article,Movies
item10,article,Series
item11,article,Series
item12,article,VideoGames
item13,article,Movies
item14,article,TV
item15,article,TV
item16,article,Movies
item17,article,TV
item18,article,TV
item19,article,Series
item20,article,Series
item21,article,TV
item22,article,Series
item23,article,TV
item24,article,Music
item25,article,Series
item26,article,Series
item27,article,Music
item28,article,Series
item29,article,Music
item30,article,Movies
item31,article,TV
item32,article,Music
item33,article,TV
item34,article,TV
item35,article,Series
item36,article,Tech
item37,article,Music
item38,article,Celebrities
item39,article,Celebrities
item40,article,TV
item41,article,TV
item42,article,TV
item43,article,TV
item44,article,Celebrities
item45,article,Tech
item46,article,Celebrities
item47,article,Series
item48,article,TV
item49,article,Movies
item50,article,Movies
item51,article,Celebrities
item52,article,TV
item53,article,Comic
item54,article,Movies
item55,article,Movies
item56,article,Movies
item57,article,TV
item58,article,TV
item59,article,Celebrities
item60,article,TV
item61,article,Series
item62,article,TV
item63,article,Movies
item64,article,Celebrities
item65,article,Movies
item66,article,Movies
item67,article,Celebrities
item68,article,Movies
item69,article,TV
item70,article,Movies
item71,article,Celebrities
item72,article,Celebrities
item73,article,Celebrities
item74,article,TV
item75,article,Celebrities
item76,article,Movies
item77,article,Celebrities
item78,article,Celebrities
item79,article,Celebrities
item80,article,Series
item81,article,Movies
item82,article,Celebrities
item83,article,Movies
item84,article,Comic
item85,article,VideoGames
item86,article,Series
item87,article,Series
item88,article,TV
item89,article,Movies
item90,article,TV
item91,article,TV
item92,article,Tech
item93,article,TV
item94,article,Celebrities
item95,article,TV
item96,article,TV
item97,article,Movies
item98,article,TV
item99,article,Series
item100,article,Movies
item101,article,TV
item102,article,Series
item103,article,TV
item104,article,Celebrities
item105,article,TV
item106,article,Celebrities
item107,article,Comic
item108,article,Series
item109,article,TV
item110,article,Movies
item111,article,Movies
item112,article,TV
item113,article,Movies
item114,article,Celebrities
item115,article,Celebrities
item116,article,TV
item117,article,Celebrities
item118,article,TV
item119,article,Series
item120,article,Movies
item121,article,Series
item122,article,Celebrities
item123,article,TV
item124,article,Movies
item125,article,Tech
item126,article,TV
item127,article,Tech
item128,article,Celebrities
item129,article,Tech
item130,article,Celebrities
item131,article,Series
item132,article,Music
item133,article,Celebrities
item134,article,Series
item135,article,Series
item136,article,Celebrities
item137,article,Movies
item138,article,Series
item139,article,TV
item140,article,VideoGames
item141,article,Series
item142,article,Movies
item143,article,Movies
item144,article,TV
item145,article,Movies
item146,article,Series
item147,article,TV
item148,article,TV
item149,article,Tech
item150,article,TV
item151,article,Other
item152,article,TV
item153,article,TV
item154,article,VideoGames
item155,article,Tech
item156,article,Series
item157,article,TV
item158,article,Series
item159,article,Series
