user,timestamp,requested_page,referrer_page
163,2019-07-03 19:05:54,146,198
632,2019-07-03 23:32:36,58,51
833,2019-07-02 16:27:01,57,75
846,2019-07-03 01:34:22,28,111
508,2019-07-03 08:58:50,58,154
474,2019-07-02 12:44:06,13,42
731,2019-07-02 23:32:03,13,23
254,2019-07-01 18:18:11,130,157
970,2019-07-03 03:59:56,109,131
678,2019-07-01 07:52:18,173,86
537,2019-07-02 16:06:39,23,180
1,2019-07-03 08:13:13,111,58
605,2019-07-01 02:55:18,70,33
240,2019-07-03 18:41:53,140,107
483,2019-07-01 15:57:17,110,126
455,2019-07-01 07:46:50,55,46
772,2019-07-01 13:41:29,142,11
499,2019-07-03 22:30:49,39,170
805,2019-07-02 11:37:33,184,106
212,2019-07-03 09:18:40,158,33
234,2019-07-03 21:59:42,173,146
201,2019-07-02 09:00:57,86,21
422,2019-07-01 14:20:01,159,0
413,2019-07-02 11:02:43,186,150
103,2019-07-02 08:59:23,90,36
875,2019-07-03 02:44:45,115,91
431,2019-07-02 08:03:40,195,34
66,2019-07-03 12:18:00,107,37
122,2019-07-02 18:47:37,119,42
589,2019-07-02 12:24:20,129,40
473,2019-07-01 16:05:09,145,33
671,2019-07-03 17:49:28,66,137
603,2019-07-02 00:05:38,159,159
178,2019-07-01 20:42:31,51,152
191,2019-07-01 18:11:08,151,100
553,2019-07-01 04:45:53,179,87
610,2019-07-03 20:50:38,61,4
739,2019-07-03 01:59:49,175,87
124,2019-07-01 23:30:57,44,122
487,2019-07-01 00:59:21,36,178
602,2019-07-03 19:40:58,118,175
594,2019-07-03 17:10:40,90,99
165,2019-07-01 20:57:16,141,137
87,2019-07-01 08:53:04,159,128
125,2019-07-01 12:59:10,133,72
508,2019-07-02 07:28:06,42,48
772,2019-07-02 06:18:27,51,151
417,2019-07-02 01:38:12,115,104
198,2019-07-03 00:13:21,151,195
791,2019-07-03 13:29:16,103,132
712,2019-07-03 19:08:36,125,108
294,2019-07-01 21:31:10,46,123
964,2019-07-02 11:41:58,35,154
382,2019-07-03 15:34:21,155,181
86,2019-07-01 10:33:44,176,86
476,2019-07-02 10:39:18,162,126
468,2019-07-02 00:23:36,173,43
219,2019-07-03 21:34:11,49,54
675,2019-07-02 21:31:12,71,163
52,2019-07-03 04:18:45,156,93
669,2019-07-03 03:59:59,152,48
865,2019-07-01 18:06:50,127,182
894,2019-07-01 18:22:22,96,16
154,2019-07-01 14:48:53,115,103
592,2019-07-03 18:39:42,74,157
892,2019-07-03 20:19:56,18,78
535,2019-07-03 17:48:30,94,188
524,2019-07-01 11:49:10,81,68
921,2019-07-02 17:50:10,110,102
823,2019-07-02 01:12:40,16,17
780,2019-07-01 05:38:01,151,181
996,2019-07-03 04:58:56,57,174
329,2019-07-01 00:57:27,156,33
43,2019-07-03 22:34:22,137,189
584,2019-07-02 01:27:00,28,8
736,2019-07-02 21:53:14,107,105
340,2019-07-03 07:44:06,167,56
932,2019-07-02 08:31:54,36,41
887,2019-07-01 02:50:50,126,56
796,2019-07-03 04:55:51,157,94
775,2019-07-01 02:40:37,73,7
188,2019-07-02 15:13:36,175,150
839,2019-07-01 03:27:28,161,38
88,2019-07-02 13:10:13,62,173
685,2019-07-03 03:05:22,93,79
499,2019-07-02 00:11:21,13,68
753,2019-07-02 03:36:07,54,48
996,2019-07-01 00:33:12,196,36
906,2019-07-03 02:27:21,40,59
619,2019-07-02 16:48:02,40,159
54,2019-07-03 19:53:54,155,109
253,2019-07-03 08:46:18,73,15
130,2019-07-01 23:35:27,192,84
160,2019-07-03 15:17:42,171,136
507,2019-07-01 07:08:27,151,3
228,2019-07-02 01:01:54,33,167
888,2019-07-02 13:01:22,157,50
686,2019-07-02 20:08:09,147,162
814,2019-07-03 11:53:26,77,171
866,2019-07-03 13:02:10,13,179
451,2019-07-01 21:45:58,11,6
511,2019-07-02 08:20:40,138,33
838,2019-07-02 06:05:42,137,120
797,2019-07-02 22:56:41,83,6
305,2019-07-03 14:17:16,5,73
572,2019-07-01 14:14:41,109,66
7,2019-07-03 23:03:45,51,149
584,2019-07-02 08:15:29,119,168
504,2019-07-02 11:01:37,168,22
676,2019-07-02 21:56:59,139,171
761,2019-07-02 03:02:32,103,61
506,2019-07-01 04:58:42,79,80
264,2019-07-02 09:12:47,199,183
490,2019-07-02 12:57:20,128,27
526,2019-07-02 11:32:11,25,165
617,2019-07-03 19:50:03,153,10
755,2019-07-02 04:02:14,62,13
184,2019-07-02 09:30:16,175,134
644,2019-07-01 02:29:34,1,180
360,2019-07-03 18:47:36,52,57
154,2019-07-03 02:52:24,146,174
660,2019-07-03 18:31:44,66,134
782,2019-07-02 13:26:14,91,56
84,2019-07-03 22:17:36,142,182
906,2019-07-01 18:41:27,15,124
48,2019-07-03 22:30:40,123,62
337,2019-07-01 16:48:54,125,65
916,2019-07-03 23:13:32,180,9
621,2019-07-01 20:03:29,187,1
998,2019-07-03 07:30:38,126,54
757,2019-07-03 23:25:50,197,140
260,2019-07-03 14:45:46,58,171
626,2019-07-03 20:10:11,171,22
691,2019-07-02 21:41:36,145,43
801,2019-07-01 18:29:49,193,190
196,2019-07-01 20:44:33,12,49
970,2019-07-03 00:59:11,92,140
561,2019-07-01 05:32:59,65,100
375,2019-07-02 21:53:49,182,4
239,2019-07-01 04:56:33,199,111
97,2019-07-01 20:01:28,69,61
411,2019-07-02 21:04:37,16,109
696,2019-07-01 22:04:50,165,181
741,2019-07-03 02:30:19,16,183
25,2019-07-01 02:38:13,3,47
520,2019-07-02 10:15:26,128,193
302,2019-07-01 19:40:13,186,93
844,2019-07-03 22:18:09,199,144
978,2019-07-03 13:16:29,97,35
570,2019-07-01 12:31:42,156,32
930,2019-07-02 21:23:33,55,32
905,2019-07-01 10:19:00,180,27
571,2019-07-02 14:49:35,3,185
661,2019-07-01 14:53:21,154,30
633,2019-07-03 02:51:12,141,73
633,2019-07-02 19:10:30,69,12
98,2019-07-02 05:00:46,180,132
693,2019-07-02 12:30:15,63,16
87,2019-07-01 13:35:16,38,69
507,2019-07-02 23:01:13,146,44
993,2019-07-03 17:49:25,52,178
923,2019-07-02 00:14:52,78,177
477,2019-07-01 22:11:23,115,87
566,2019-07-02 14:42:11,82,155
163,2019-07-03 20:31:46,137,20
25,2019-07-03 17:35:18,168,39
509,2019-07-01 10:22:29,88,113
736,2019-07-03 02:35:13,93,187
584,2019-07-02 22:41:30,67,64
749,2019-07-01 20:25:35,185,172
644,2019-07-03 19:26:53,136,112
386,2019-07-02 01:36:02,77,117
640,2019-07-02 14:08:52,37,44
696,2019-07-02 02:23:13,82,194
532,2019-07-03 04:33:21,64,97
325,2019-07-02 21:07:15,19,26
698,2019-07-01 09:46:38,9,160
846,2019-07-01 19:37:01,10,127
82,2019-07-02 14:26:02,98,140
811,2019-07-02 00:18:13,198,131
857,2019-07-02 23:55:51,147,6
328,2019-07-02 11:40:43,96,32
167,2019-07-03 23:36:59,197,185
151,2019-07-02 15:00:46,192,167
205,2019-07-03 01:18:05,114,171
612,2019-07-02 07:53:32,118,67
388,2019-07-02 03:02:02,74,6
332,2019-07-03 18:43:25,144,25
447,2019-07-02 16:31:37,75,199
936,2019-07-03 03:25:59,106,44
377,2019-07-01 05:43:12,112,19
842,2019-07-02 17:21:37,125,36
569,2019-07-01 14:12:23,50,14
903,2019-07-01 05:44:15,189,95
68,2019-07-01 18:40:21,158,36
429,2019-07-03 04:18:02,87,189
765,2019-07-01 00:17:15,146,119
432,2019-07-03 13:30:53,80,193
685,2019-07-01 15:00:10,12,112
238,2019-07-01 06:54:09,63,20
505,2019-07-01 21:57:38,124,0
137,2019-07-01 08:56:41,85,42
18,2019-07-02 10:07:16,171,116
9,2019-07-03 12:20:02,111,14
140,2019-07-02 07:45:56,179,61
998,2019-07-02 23:36:49,1,166
655,2019-07-01 19:13:14,153,80
594,2019-07-01 05:29:42,30,147
164,2019-07-02 21:52:50,197,91
950,2019-07-02 01:39:13,60,20
459,2019-07-03 15:54:03,41,94
152,2019-07-03 19:02:00,183,131
582,2019-07-02 05:40:26,180,182
594,2019-07-01 20:38:41,29,167
589,2019-07-01 08:17:43,125,51
277,2019-07-02 15:54:38,119,161
842,2019-07-02 20:43:09,63,89
725,2019-07-01 04:40:19,178,133
462,2019-07-03 07:53:52,54,118
168,2019-07-02 06:06:38,118,56
216,2019-07-02 20:26:00,104,164
337,2019-07-03 19:39:33,91,152
974,2019-07-02 22:27:21,20,21
492,2019-07-01 23:57:31,80,102
924,2019-07-03 14:25:12,125,34
387,2019-07-03 09:57:45,172,37
141,2019-07-01 16:46:22,180,101
381,2019-07-03 02:10:00,78,155
327,2019-07-02 22:57:56,164,64
369,2019-07-01 12:17:53,88,87
920,2019-07-02 04:00:17,42,163
73,2019-07-02 07:05:01,144,121
823,2019-07-01 14:34:20,0,185
253,2019-07-02 19:55:19,104,47
404,2019-07-01 13:15:22,146,196
373,2019-07-01 17:09:06,70,20
543,2019-07-03 13:12:19,79,184
268,2019-07-03 18:19:56,38,175
578,2019-07-02 06:37:06,131,140
100,2019-07-01 05:55:19,42,90
52,2019-07-01 08:31:21,156,110
664,2019-07-01 08:18:00,109,182
454,2019-07-03 17:09:49,128,199
334,2019-07-01 01:37:06,166,140
795,2019-07-01 22:13:42,5,165
214,2019-07-02 08:36:29,71,71
110,2019-07-03 08:45:23,152,49
936,2019-07-02 21:31:29,117,157
692,2019-07-02 22:12:18,37,1
286,2019-07-01 00:33:02,168,16
883,2019-07-01 21:05:07,68,122
201,2019-07-03 21:00:26,180,40
632,2019-07-02 07:16:43,50,86
599,2019-07-01 08:13:44,78,86
899,2019-07-02 14:26:39,105,58
632,2019-07-01 00:07:39,11,143
316,2019-07-02 17:41:26,167,182
408,2019-07-03 11:38:03,60,179
924,2019-07-01 15:44:36,15,37
990,2019-07-02 00:06:58,161,164
130,2019-07-02 05:26:56,138,71
458,2019-07-03 04:19:42,164,102
616,2019-07-03 09:56:28,161,13
103,2019-07-02 05:13:25,5,37
972,2019-07-01 11:37:06,186,190
84,2019-07-01 09:23:02,77,189
571,2019-07-01 09:05:03,172,27
247,2019-07-01 19:31:32,186,153
200,2019-07-02 10:16:02,110,127
615,2019-07-02 15:44:14,87,29
889,2019-07-02 13:53:33,177,56
770,2019-07-01 14:24:04,72,156
475,2019-07-03 11:34:26,148,126
856,2019-07-03 06:17:58,56,89
822,2019-07-01 03:52:29,42,165
232,2019-07-02 09:04:41,86,158
4,2019-07-03 07:06:44,148,22
489,2019-07-01 11:36:56,109,132
385,2019-07-03 02:35:00,62,75
26,2019-07-01 10:22:57,65,56
742,2019-07-01 11:39:41,68,28
564,2019-07-02 18:19:30,154,199
410,2019-07-02 02:36:40,11,114
226,2019-07-01 07:57:11,12,171
201,2019-07-01 09:22:35,30,34
825,2019-07-01 01:43:25,28,196
648,2019-07-03 16:27:21,186,176
796,2019-07-02 10:44:45,173,143
796,2019-07-01 18:42:36,178,158
657,2019-07-03 05:02:54,113,178
919,2019-07-03 06:20:12,142,83
435,2019-07-01 21:32:49,36,118
89,2019-07-02 09:12:54,46,171
71,2019-07-03 22:13:58,191,108
390,2019-07-03 23:56:36,92,86
726,2019-07-02 07:07:07,199,57
149,2019-07-02 05:08:16,11,18
618,2019-07-02 00:14:54,185,106
